price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
Rs. 2 Crore 30 Lakh (Negotiable),Location: Tarkeshwor Nagarpalika-4 Payutar Namuna Basti ,Land Area: 0-4-0-0 ,Floors: 3 ,Bedrooms: 8 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,10 Feet 
Rs. (मुल्य आपसी समझदारीमा) (Negotiable),Location: Bhangal Man Bahadur Marga ,Land Area: 0-5-0-1 ,Floors: 3.5 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. (मुल्य आपसी समझदारीमा) (Negotiable),Location: Bhangal Man Bahadur Marga ,Land Area: 0-5-0-1 ,Floors: 3.5 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. 5 Crore 25 Lakh (Negotiable),Location: Kritipur Chobhar ,Land Area: 1-0-0-0 ,Floors: 3.5 ,Bedrooms: 7 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. 5 Crore 25 Lakh (Negotiable),Location: Kritipur Chobhar ,Land Area: 1-0-0-0 ,Floors: 3.5 ,Bedrooms: 7 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. (मुल्य आपसी समझदारीमा) (Negotiable),Location: Thamel ,Land Area: 0-9-0-0 ,Floors: 5.5 ,Bedrooms: 20 ,Bathrooms: 15 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,20 Feet 
Rs. (मुल्य आपसी समझदारीमा) (Negotiable),Location: Thamel ,Land Area: 0-9-0-0 ,Floors: 5.5 ,Bedrooms: 20 ,Bathrooms: 15 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,20 Feet 
Rs. 4 Crore 95 Lakh (Negotiable),Location: Lalitpur Ward Number-4 Bagdol ,Land Area: 0-9-0-9 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 1 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,6 Miter 
Rs. 4 Crore 95 Lakh (Negotiable),Location: Lalitpur Ward Number-4 Bagdol ,Land Area: 0-9-0-9 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 1 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,6 Miter 
Rs. 2 Crore 70 Lakh (Negotiable),Location: Koteshwor Narephat Medical Chowk ,Land Area: 0-2-2-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,28 Feet 
