price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
34500000.0, Imadol ,1304.8200000000002, 3.5 , 4 , 5 , 1 , 1 , Semi Furnishing ,"['east', '&', 'south']",['16']
62500000.0, Tokha ,2224.62, 3.5 , 7 , 5 , 3 , 3 , Semi Furnishing ,"['west', 'feced']",['13']
62500000.0, Tokha ,2224.62, 3.5 , 7 , 5 , 3 , 3 , Semi Furnishing ,"['west', 'feced']",['13']
"['2', 'crore', '19', 'lakh(fix', 'price)']", Imadol Bhandari gaau ,1048.14, 2.5 , 6 , 4 , 2 , 2 , Not Furnishing ,"['west', 'feced']",['13']
"['2', 'crore', '19', 'lakh(fix', 'price)']", Imadol Bhandari gaau ,1048.14, 2.5 , 6 , 4 , 2 , 2 , Not Furnishing ,"['west', 'feced']",['13']
48000000.0, Koteshwor ,1369.0, 3 , 5 , 3 , 1 , 2 , Not Furnishing ,['east/north/south'],['13/10/8']
48000000.0, Koteshwor ,1369.0, 3 , 5 , 3 , 1 , 2 , Not Furnishing ,['east/north/south'],['13/10/8']
0.0, Ason Tyuda ,1540.12, 7 , 12 , 6 , 0 , 1 , Semi Furnishing ,['north'],['12']
0.0, Ason Tyuda ,1540.12, 7 , 12 , 6 , 0 , 1 , Semi Furnishing ,['north'],['12']
27500000.0, Balkot Adhikari Tol ,1112.31, 3.5 , 7 , 3 , 3 , 3 , Fully Furnished ,['south/east'],['13']
27500000.0, Balkot Adhikari Tol ,1112.31, 3.5 , 7 , 3 , 3 , 3 , Fully Furnished ,['south/east'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Tarkeshwor Dhitalthok ,1112.31, 3.5 , 6 , 6 , 2 , 2 , Semi Furnished ,['east/north'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Tarkeshwor Dhitalthok ,1112.31, 3.5 , 6 , 6 , 2 , 2 , Semi Furnished ,['east/north'],['13']
25000000.0, Aadeshwor Ichangu ,1112.31, 3.5 , 5 , 3 , 1 , 2 , Semi Furnishing ,['east'],['13']
25000000.0, Aadeshwor Ichangu ,1112.31, 3.5 , 5 , 3 , 1 , 2 , Semi Furnishing ,['east'],['13']
45000000.0, Banasthali Kharibot Chowk ,2374.35, 4 , 7 , 7 , 3 , 3 , Semi Furnishing ,['east'],['10']
45000000.0, Banasthali Kharibot Chowk ,2374.35, 4 , 7 , 7 , 3 , 3 , Semi Furnishing ,['east'],['10']
0.0, Balkot Chowk ,1197.87, 2.5 , 5 , 4 , 2 , 2 , Semi Furnishing ,"['west', 'feced']",['13']
0.0, Balkot Chowk ,1197.87, 2.5 , 5 , 4 , 2 , 2 , Semi Furnishing ,"['west', 'feced']",['13']
29000000.0, Ochu height Imadole ,1176.48, 2.5 , 7 , 4 , 2 , 2 , Semi Furnishing ,['east'],['13']
29000000.0, Ochu height Imadole ,1176.48, 2.5 , 7 , 4 , 2 , 2 , Semi Furnishing ,['east'],['13']
46000000.0, Dhapasi Height ,1711.25, 3.5 , 7 , 5 , 3 , 2 , Not Furnishing ,['south'],['22']
46000000.0, Dhapasi Height ,1711.25, 3.5 , 7 , 5 , 3 , 2 , Not Furnishing ,['south'],['22']
0.0, Mahalaxmi Nagarpalika Tikathali Sidhartha Tole ,1369.0, 2.5 , 6 , 4 , 1 , 2 , Semi Furnishing ,"['west', 'feced']",['13']
0.0, Mahalaxmi Nagarpalika Tikathali Sidhartha Tole ,1369.0, 2.5 , 6 , 4 , 1 , 2 , Semi Furnishing ,"['west', 'feced']",['13']
31000000.0, Mahalaxmi Yekata Basti ,1711.25, 2.5 , 6 , 5 , 2 , 2 , Semi Furnishing ,['south'],['14']
31000000.0, Mahalaxmi Yekata Basti ,1711.25, 2.5 , 6 , 5 , 2 , 2 , Semi Furnishing ,['south'],['14']
16000000.0, Mulpani Babachowk ,1112.31, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['south'],['10']
16000000.0, Mulpani Babachowk ,1112.31, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['south'],['10']
0.0, Bhangal Samyukta Buspark ,1197.87, 2.5 , 8 , 1 , 1 , 1 , Semi Furnishing ,"['west', 'feced']",['36']
0.0, Bhangal Samyukta Buspark ,1197.87, 2.5 , 8 , 1 , 1 , 1 , Semi Furnishing ,"['west', 'feced']",['36']
"['मुल्य', 'आपसी', 'समझदारीमा']", Pepsicola Sahayogi Chowk ,2032.1000000000001, 4.5 , 9 , 8 , 4 , 1 , Fully Furnished ,['north'],"['6', 'miter']"
"['मुल्य', 'आपसी', 'समझदारीमा']", Pepsicola Sahayogi Chowk ,2032.1000000000001, 4.5 , 9 , 8 , 4 , 1 , Fully Furnished ,['north'],"['6', 'miter']"
24000000.0, Sitapaila Thapachowk ,855.62, 3.5 , 3 , 3 , 1 , 1 , Semi Furnishing ,['south/east'],['16']
24000000.0, Sitapaila Thapachowk ,855.62, 3.5 , 3 , 3 , 1 , 1 , Semi Furnishing ,['south/east'],['16']
22500000.0, Satungal Dhaulagiri Aawas ,2032.1000000000001, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['north'],['14']
22500000.0, Satungal Dhaulagiri Aawas ,2032.1000000000001, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['north'],['14']
30000000.0, Taudaha ,1882.37, 2.5 , 5 , 4 , 3 , 2 , Semi Furnished ,['east/south'],['13']
30000000.0, Taudaha ,1882.37, 2.5 , 5 , 4 , 3 , 2 , Semi Furnished ,['east/south'],['13']
0.0, Basundhara ,1946.54, 2.5 , 6 , 5 , 2 , 2 , Semi Furnished ,['east'],['14']
