price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 3.55Cr ,"Imadol, Lalitpur",3.3 aana,3,5,6,Semi-Furnished,South,13 Feet 
Rs. 4.6Cr ,"Ganesh Chowk, Kathmandu",4.3 aana,2.5,7,5,Full-Furnished,East,13 Feet 
Rs. 3.35Cr ,"Tikathali, Lalitpur",4.3 aana,3,5,4,Semi-Furnished,East,11 Feet 
Rs. 2.25Cr ,"Tikathali, Lalitpur",3.2 aana,3,6,3,Semi-Furnished,East,13 Feet 
Rs. 4.3Cr ,"Ganesh Chowk, Kathmandu",3.2 aana,2.5,5,6,Semi-Furnished,West,13 Feet 
Rs. 15.5Cr ,"Chyasundole, Kathmandu",3.2 aana,2.5,4,5,Full-Furnished,East,18 Feet 
Rs. 1.6Cr ,"Tikathali, Lalitpur",2.3 aana,1,2,1,Un-Furnished,West,13 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",2.3 aana,3.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Kadaghari, Kathmandu",2.3 aana,3.5,6,5,Semi-Furnished,South-West,13 Feet 
Rs. 1.65Cr ,"Tikathali, Lalitpur",3.1 aana,1,2,1,Semi-Furnished,East,13 Feet 
Price on call,"Imadol, Lalitpur",4.1 aana,3,7,5,Semi-Furnished,South-West,10 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",4.1 aana,3,4,4,Semi-Furnished,North-West,13 Feet 
Rs. 4.5Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,7,7,Full-Furnished,North,13 Feet 
Rs. 2.5Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,3,4,Semi-Furnished,South,13 Feet 
Rs. 5.5Cr ,"Shital Height, Lalitpur",5.1 aana,3,5,6,Full-Furnished,South,13 Feet 
Rs. 3.55Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,5,Semi-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",4.2 aana,3,6,4,Semi-Furnished,South,16 Feet 
Rs. 1.7Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,3,1,Semi-Furnished,North,14 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,South,13 Feet 
Rs. 3.2Cr ,"Bhangal , Kathmandu",2.3 aana,2.5,8,3,Un-Furnished,West,15 Feet 
Rs. 9.5Cr ,"Baluwakhani, Kathmandu",2.3 aana,4.5,18,10,Un-Furnished,West,32 Feet 
Rs. 5.4Cr ,"Kapan, Kathmandu",2.3 aana,3,9,3,Un-Furnished,West,13 Feet 
Rs. 1.6Cr ,"Gokarna, Kathmandu",2.3 aana,1,2,1,Un-Furnished,South,13 Feet 
Rs. 6Cr ,"Pasikot, Kathmandu",2.3 aana,2,5,3,Un-Furnished,South,16 Feet 
Rs. 7.5Cr ,"Maharajgunj, Kathmandu",6.2 aana,3,7,5,Un-Furnished,South,20 Feet 
Rs. 2.45Cr ,"Nakhipot, Lalitpur",3.2 aana,3,4,3,Un-Furnished,South,20 Feet 
Rs. 2.9Cr ,"Kharibot, Kathmandu",3.2 aana,3,5,3,Un-Furnished,South,32 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.2 aana,3,5,4,Semi-Furnished,North,13 Feet 
Rs. 2.9Cr ,"Kadaghari, Kathmandu",3.2 aana,3.5,10,5,Un-Furnished,East,12 Feet 
Rs. 3.4Cr ,"Lasuntar, Kathmandu",3.2 aana,2.5,6,2,Un-Furnished,South,16 Feet 
Rs. 6.5Cr ,"Pepsicola, Kathmandu",3.2 aana,3.5,5,3,Semi-Furnished,North,20 Feet 
Rs. 2.3Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,6,3,Semi-Furnished,West,13 Feet 
Rs. 3.2Cr ,"Imadol, Lalitpur",3.1 aana,3,5,4,Full-Furnished,East,13 Feet 
Rs. 3.05Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Full-Furnished,East,13 Feet 
Rs. 3.65Cr ,"Kadaghari, Kathmandu",3.2 aana,2.5,6,5,Full-Furnished,South-West,12 Feet 
Rs. 3.95Cr ,"Harisiddhi, Lalitpur",3.1 aana,2.5,5,5,Semi-Furnished,West,20 Feet 
Rs. 4.15Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,South,13 Feet 
Rs. 1.75Cr ,"Tikathali, Lalitpur",2.3 aana,1,2,1,Full-Furnished,North,13 Feet 
Rs. 2.65Cr ,"Tikathali, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,South,12 Feet 
Rs. 2.6Cr ,"Satungal, Kathmandu",4.2 aana,2.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 4.15Cr ,"Nakhipot, Lalitpur",4.1 aana,2.5,7,5,Full-Furnished,South-East,16 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",5.2 aana,3.5,7,4,Full-Furnished,South-East,13 Feet 
Rs. 3.5Cr ,"Tikathali, Lalitpur",5.2 aana,3,6,4,Full-Furnished,North,13 Feet 
Rs. 4.3Cr ,"Ganesh Chowk, Kathmandu",5.2 aana,2.5,5,6,Full-Furnished,West,13 Feet 
Rs. 2.65Cr ,"Shital Height, Lalitpur",2.3 aana,3,5,4,Semi-Furnished,South,13 Feet 
Rs. 3.8Cr ,"Ganesh Chowk, Kathmandu",2.3 aana,2.5,6,5,Semi-Furnished,West,13 Feet 
Rs. 4.5Cr ,"Bhaisepati, Lalitpur",2.3 aana,3,4,5,Full-Furnished,North-West,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",2.3 aana,2.5,6,5,Semi-Furnished,South,13 Feet 
Rs. 4.1Cr ,"Soltimode, Kathmandu",3.2 aana,3,4,4,Semi-Furnished,South,13 Feet 
Rs. 35.5Lac ,"Bhangal , Kathmandu",3.2 aana,2.5,5,5,Semi-Furnished,East,13 Feet 
Rs. 4.25Cr ,"Bhangal , Kathmandu",4.1 aana,2.5,7,6,Full-Furnished,North-East,12 Feet 
Rs. 2.25Cr ,"Imadol, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 3.15Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.45Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,4,Full-Furnished,West,13 Feet 
Rs. 4.15Cr ,"Khumaltar, Lalitpur",4.2 aana,3,6,5,Full-Furnished,West,13 Feet 
Rs. 14Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,5,3,Semi-Furnished,North-East,20 Feet 
Rs. 26Cr ,"Mudkhu, Kathmandu",4.2 aana,2,5,3,Full-Furnished,North,20 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,West,20 Feet 
Rs. 6.5Cr ,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,5,Full-Furnished,North,13 Feet 
Rs. 2.3Cr ,"Satungal, Kathmandu",3.1 aana,3.5,5,4,Semi-Furnished,North-East,20 Feet 
Price on call,"Budhanilkantha, Kathmandu",3.1 aana,2.5,6,4,Semi-Furnished,East,13 Feet 
Rs. 1.98Cr ,"Lubhu, Lalitpur",3.1 aana,2.5,6,4,Semi-Furnished,West,20 Feet 
Rs. 3.75Cr ,"Aakasedhara, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,West,20 Feet 
Rs. 3.5Cr ,"Lasuntar, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,South,16 Feet 
Rs. 11.5Cr ,"Baluwatar, Kathmandu",3.1 aana,2.5,5,3,Semi-Furnished,North,20 Feet 
Rs. 1.15Cr ,"Gurjudhara, Kathmandu",3.1 aana,1.5,3,1,Semi-Furnished,West,13 Feet 
Rs. 6.5Cr ,"Pepsicola, Kathmandu",3.1 aana,3.5,5,3,Un-Furnished,North,20 Feet 
Rs. 2.7Cr ,"Satungal, Kathmandu",3.1 aana,3,7,2,Semi-Furnished,South-West,15 Feet 
Price on call,"Mahalaxmisthan, Lalitpur",3.1 aana,3,5,4,Full-Furnished,South,12 Feet 
Rs. 2.75Cr ,"Nakhipot, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,North-West,20 Feet 
Rs. 25Cr ,"Nagarjun, Kathmandu",4.2 aana,2,6,3,Full-Furnished,South,20 Feet 
Rs. 2.75Cr ,"Nakhipot, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,North-West,13 Feet 
Rs. 2.9Cr ,"Tikathali, Lalitpur",4.2 aana,3,6,4,Semi-Furnished,West,12 Feet 
Rs. 1.75Cr ,"Satungal, Kathmandu",4.2 aana,2.5,4,3,Semi-Furnished,South,16 Feet 
Rs. 2.5Cr ,"Dhungeadda, Kathmandu",4.2 aana,2.5,5,4,Semi-Furnished,South-West,20 Feet 
Rs. 3.25Cr ,"Bhangal , Kathmandu",3.3 aana,2.5,5,3,Un-Furnished,South,16 Feet 
Rs. 3.25Cr ,"Tikathali, Lalitpur",3.3 aana,3,8,3,Un-Furnished,South-East,20 Feet 
Rs. 2.45Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,4,Full-Furnished,West,13 Feet 
Rs. 1.8Cr ,"Kapan, Kathmandu",3.2 aana,1,2,1,Un-Furnished,North,16 Feet 
Rs. 3.9Cr ,"Kapan, Kathmandu",3.2 aana,3.5,8,3,Un-Furnished,North,16 Feet 
Rs. 1.6Cr ,"Kapan, Kathmandu",3.2 aana,1,2,1,Un-Furnished,North,16 Feet 
Rs. 3.9Cr ,"Ganesh Chowk, Kathmandu",3.2 aana,2.5,6,2,Un-Furnished,East,16 Feet 
Rs. 2.6Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,3,Semi-Furnished,East,13 Feet 
Rs. 4.4Cr ,"Butwal, Rupandehi",0.17 kattha,2.5,8,5,Semi-Furnished,South,20 Feet 
Rs. 3.5Cr ,"Khadka Gaun, Kathmandu",0.17 kattha,3,5,4,Semi-Furnished,South-East,13 Feet 
Rs. 4.9Cr ,"Dholahiti, Lalitpur",6.3 aana,3.5,10,4,Un-Furnished,South,13 Feet 
Rs. 7.25Cr ,"Khumaltar, Lalitpur",6.3 aana,2.5,5,2,Full-Furnished,North-East,20 Feet 
Rs. 3.5Cr ,"Dhapakhel, Lalitpur",6.3 aana,3.5,9,5,Semi-Furnished,East,20 Feet 
Rs. 4.9Cr ,"Rudreshwor, Kathmandu",6.3 aana,2.5,6,2,Un-Furnished,South,16 Feet 
Rs. 4.1Cr ,"Tokha Saraswoti, Kathmandu",6.3 aana,2.5,4,3,Un-Furnished,South,21 Feet 
Rs. 2.9Cr ,"Dhapakhel, Lalitpur",6.3 aana,3.5,6,4,Semi-Furnished,North-East,19 Feet 
Rs. 3.45Cr ,"Hattigaunda, Kathmandu",4.2 aana,2.5,6,3,Un-Furnished,West,13 Feet 
Rs. 3.7Cr ,"Bhangal , Kathmandu",4.2 aana,3,6,3,Semi-Furnished,South-West,16 Feet 
Rs. 3.25Cr ,"Sitapaila, Kathmandu",4.2 aana,2.5,6,5,Semi-Furnished,East,13 Feet 
Price on call,"Chardobato, Bhaktapur",4.2 aana,2.5,4,3,Full-Furnished,South-East,13 Feet 
Price on call,"Tokha Saraswoti, Kathmandu",4.2 aana,2.5,4,3,Semi-Furnished,East,22 Feet 
Rs. 3.55Cr ,"Kapan, Kathmandu",4.1 aana,2.5,6,4,Un-Furnished,South,16 Feet 
Rs. 3.1Cr ,"Mandikhatar, Kathmandu",4.1 aana,2.5,6,4,Un-Furnished,East,16 Feet 
Rs. 70Lac/aana,"Maitidevi, Kathmandu",13.3 aana,2.5,5,4,Semi-Furnished,North,14 Feet 
Rs. 3.5Cr ,"Budhanilkantha, Kathmandu",13.3 aana,2.5,4,4,Semi-Furnished,East,13 Feet 
Rs. 4.75Cr ,"Budhanilkantha, Kathmandu",13.3 aana,2.5,5,4,Un-Furnished,North,15 Feet 
Rs. 6.9Cr ,"Pasikot, Kathmandu",8.2 aana,2.5,4,4,Semi-Furnished,South-West,16 Feet 
Rs. 3.2Cr ,"Sundarbasti, Kathmandu",8.2 aana,2.5,7,4,Un-Furnished,East,16 Feet 
Rs. 3.45Cr ,"Hattigaunda, Kathmandu",4.2 aana,3,6,3,Un-Furnished,West,13 Feet 
Rs. 3.5Cr ,"Gothatar, Kathmandu",4.2 aana,2.5,6,4,Un-Furnished,North,20 Feet 
Rs. 4.25Cr ,"Budhanilkantha, Kathmandu",4.1 aana,2.5,7,3,Un-Furnished,East,20 Feet 
Rs. 1.55Cr ,"Satungal, Kathmandu",4.1 aana,2,3,2,Semi-Furnished,North,15 Feet 
Rs. 2.1Cr ,"Gongabu, Kathmandu",4.1 aana,2.5,7,3,Un-Furnished,East,16 Feet 
Rs. 3.7Cr ,"Imadol, Lalitpur",4.1 aana,2.5,6,3,Full-Furnished,South,13 Feet 
Rs. 3.65Cr ,"Imadol, Lalitpur",4.1 aana,2.5,6,4,Full-Furnished,North,13 Feet 
Rs. 4.75Cr ,"Budhanilkantha, Kathmandu",4.1 aana,2,6,3,Semi-Furnished,East,13 Feet 
Rs. 1.75Cr ,"Tikathali, Lalitpur",4.1 aana,2.5,3,2,Semi-Furnished,South,13 Feet 
Rs. 6.5Cr ,"Buddhanagar, Kathmandu",4.1 aana,2,4,4,Semi-Furnished,South,15 Feet 
Rs. 12.5Cr ,"Basundhara, Kathmandu",4.1 aana,2.5,4,4,Semi-Furnished,South,16 Feet 
Rs. 1.35Cr ,"Satungal, Kathmandu",4.1 aana,2,3,2,Semi-Furnished,North-East,16 Feet 
Rs. 8.5Cr ,"Maharajgunj, Kathmandu",11.1 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.25Cr ,"Sanagaun, Lalitpur",11.1 aana,3,4,3,Semi-Furnished,South-East,13 Feet 
Rs. 3.77Cr ,"Bhangal , Kathmandu",11.1 aana,2.5,6,3,Un-Furnished,South,20 Feet 
Rs. 3.1Cr ,"Mandikhatar, Kathmandu",11.1 aana,2.5,6,4,Un-Furnished,East,16 Feet 
Rs. 3.55Cr ,"Kapan, Kathmandu",4.1 aana,3,6,4,Un-Furnished,South,16 Feet 
Rs. 3.2Cr ,"Sundarbasti, Kathmandu",4.1 aana,2.5,7,4,Semi-Furnished,East,16 Feet 
Rs. 3.15Cr ,"Satdobato, Lalitpur",4.1 aana,2.5,5,4,Semi-Furnished,South-East,13 Feet 
Rs. 5.35Cr ,"Imadol, Lalitpur",5.2 aana,3.5,7,4,Full-Furnished,South-East,13 Feet 
Rs. 3.75Cr ,"Pasikot, Kathmandu",5.2 aana,2.5,5,5,Semi-Furnished,South,15 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,3,6,5,Semi-Furnished,North,13 Feet 
Rs. 3.7Cr ,"Bhangal , Kathmandu",4.2 aana,3,6,3,Semi-Furnished,East,13 Feet 
Rs. 3Cr ,"Mulpani, Kathmandu",4.2 aana,3,6,4,Full-Furnished,West,13 Feet 
Price on call,"Budhanilkantha, Kathmandu",4.2 aana,2.5,6,3,Semi-Furnished,South,20 Feet 
Rs. 2.9Cr ,"Dholahiti, Lalitpur",3.1 aana,3,4,4,Semi-Furnished,South,12 Feet 
Price on call,"Jharuwarasi, Lalitpur",3.1 aana,2,3,2,Un-Furnished,East,21 Feet 
Rs. 2.25Cr ,"Sanagaun, Lalitpur",3.1 aana,2.5,5,3,Semi-Furnished,South-East,13 Feet 
Rs. 3.05Cr ,"Imadol, Lalitpur",3.1 aana,3.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",5.1 aana,3.5,6,7,Full-Furnished,South,13 Feet 
Rs. 3.2Cr ,"Imadol, Lalitpur",3.1 aana,3,5,4,Full-Furnished,North,13 Feet 
Rs. 1.38Cr ,"Butwal, Rupandehi",0.8 kattha,2.5,7,3,Un-Furnished,South-West,20 Feet 
Rs. 3.95Cr ,"Harisiddhi, Lalitpur",3.1 aana,3,5,4,Full-Furnished,North-East,20 Feet 
Rs. 3.15Cr ,"Satdobato, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,South-East,13 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",5.1 aana,3.5,6,5,Full-Furnished,South-West,16 Feet 
Rs. 3.95Cr ,"Harisiddhi, Lalitpur",3.1 aana,3,4,4,Full-Furnished,North-West,20 Feet 
Rs. 3.1Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.2Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,East,13 Feet 
Rs. 3.25Cr ,"Ramkot, Kathmandu",4.2 aana,3.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 1.75Cr ,"Lamatar, Lalitpur",4.2 aana,2,3,3,Full-Furnished,South,13 Feet 
Rs. 7Cr ,"Buddhanagar, Kathmandu",8.1 aana,2,5,4,Full-Furnished,East,13 Feet 
Rs. 3Cr ,"Imadol, Lalitpur",8.1 aana,3.5,6,4,Full-Furnished,North,20 Feet 
Rs. 4.7Cr ,"Ochu Height, Lalitpur",8.1 aana,3,5,6,Full-Furnished,South-West,16 Feet 
Rs. 4.25Cr ,"Pokhara, Kaski",8.1 aana,2.5,7,7,Full-Furnished,East,20 Feet 
Rs. 3.2Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,4,3,Semi-Furnished,South-East,20 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",3.2 aana,3.5,6,6,Semi-Furnished,South-East,26 Feet 
Rs. 2.4Cr ,"Setipakha, Lalitpur",3.2 aana,3,4,4,Semi-Furnished,West,13 Feet 
Rs. 2.85Cr ,"Harisiddhi, Lalitpur",3.3 aana,3.5,5,4,Full-Furnished,North-East,13 Feet 
Rs. 3.2Cr ,"Shital Height, Lalitpur",3.2 aana,3,5,4,Full-Furnished,East,13 Feet 
Rs. 1.35Cr ,"Machhe Gaun, Kathmandu",3.1 aana,2.5,3,2,Full-Furnished,North,20 Feet 
Rs. 3.35Cr ,"Sitapakha, Lalitpur",3.1 aana,3,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.85Cr ,"Harisiddhi, Lalitpur",3.2 aana,3,4,4,Semi-Furnished,North,20 Feet 
Rs. 6.5Cr ,"Pokhara, Kaski",4.1 aana,3.5,5,4,Full-Furnished,South-West,22 Feet 
Price on call,"Narayanthan , Kathmandu",5.2 aana,2.5,5,2,Full-Furnished,West,12 Feet 
Rs. 2.1Cr ,"Imadol, Lalitpur",5.2 aana,2.5,6,3,Full-Furnished,South,13 Feet 
Rs. 3.2Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,North,13 Feet 
Rs. 4.5Cr ,"Sanagaun, Lalitpur",3.2 aana,2.5,5,5,Full-Furnished,South-East,16 Feet 
Rs. 1.5Cr ,"Bishundole, Lalitpur",3.2 aana,1.5,2,1,Semi-Furnished,South,13 Feet 
Rs. 3.55Cr ,"Ochu Height, Lalitpur",3.1 aana,3,5,5,Full-Furnished,South,20 Feet 
Rs. 3.37Cr ,"Shital Height, Lalitpur",3.2 aana,3,5,5,Full-Furnished,North-West,13 Feet 
Rs. 4.5Cr ,"Sanagaun Lubhu, Lalitpur",3.2 aana,2.5,5,5,Full-Furnished,South-West,16 Feet 
Rs. 2.35Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,3,Full-Furnished,South-East,13 Feet 
Rs. 13.8Cr ,"Anamnagar, Kathmandu",4.2 aana,3.5,10,9,Semi-Furnished,South,16 Feet 
Rs. 4.15Cr ,"Shital Height, Lalitpur",4.2 aana,3.5,7,5,Full-Furnished,South,13 Feet 
Rs. 2.97Cr ,"Sanagaun, Lalitpur",4.2 aana,3,5,4,Semi-Furnished,South,13 Feet 
Rs. 1.4Cr ,"Jhaukhel, Bhaktapur",4.2 aana,3,2,1,Un-Furnished,North-East,12 Feet 
Rs. 4.7Cr ,"Ochu Height, Lalitpur",4.2 aana,3,5,6,Semi-Furnished,South-West,14 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",2.3 aana,3.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.3Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,4,3,Semi-Furnished,East,13 Feet 
Rs. 6.5Cr ,"Baluwakhani, Kathmandu",2.3 aana,3.5,7,4,Full-Furnished,West,13 Feet 
Rs. 2.1Cr ,"Lubhu, Lalitpur",2.3 aana,2.5,3,2,Semi-Furnished,North-East,20 Feet 
Rs. 3.8Cr ,"Bouddha, Kathmandu",4.1 aana,3.5,7,4,Semi-Furnished,South-East,13 Feet 
Rs. 1.4Cr ,"Ramkot, Kathmandu",4.1 aana,3.5,4,4,Un-Furnished,East,13 Feet 
Rs. 4.7Cr ,"Ochu Height, Lalitpur",4.1 aana,3.5,5,6,Semi-Furnished,West,14 Feet 
Rs. 2.3Cr ,"Shital Height, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,East,13 Feet 
Price on call,"Grande Hospital, Kathmandu",2.3 aana,2.5,4,3,Full-Furnished,North-East,13 Feet 
Rs. 2.5Cr ,"Ganesh Chowk, Kathmandu",2.3 aana,3,6,4,Semi-Furnished,East,20 Feet 
Rs. 2.98Cr ,"Imadol, Lalitpur",2.3 aana,3.5,5,4,Semi-Furnished,South,16 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",5.2 aana,3.5,5,6,Full-Furnished,South-West,13 Feet 
Rs. 2.5Cr ,"Galkopakha, Kathmandu",5.2 aana,2.5,4,4,Semi-Furnished,East,4 Feet 
Rs. 5.5Cr ,"Bojepokhari, Lalitpur",5.2 aana,3.5,5,6,Full-Furnished,South-West,13 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",5.2 aana,3,4,4,Semi-Furnished,East,13 Feet 
Rs. 1.3Cr ,"Imadol, Lalitpur",5.2 aana,1,3,2,Full-Furnished,South,13 Feet 
Rs. 2Cr ,"Lubhu, Lalitpur",3.1 aana,2.5,7,3,Semi-Furnished,West,13 Feet 
Rs. 5.5Cr ,"Ason, Kathmandu",2.2 aana,4,5,3,Un-Furnished,South,5 Feet 
Rs. 2.6Cr ,"Bojepokhari, Lalitpur",2.2 aana,3.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 3.55Cr ,"Ochu Height, Lalitpur",3.1 aana,3,5,5,Full-Furnished,South,19 Feet 
Rs. 3.5Cr ,"Bhaisepati, Lalitpur",3.1 aana,3,4,5,Semi-Furnished,North-East,15 Feet 
Rs. 2.6Cr ,"Nakhipot, Lalitpur",3.1 aana,2.5,4,4,Full-Furnished,North,16 Feet 
Rs. 1.65Cr ,"Lubhu, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,East,17 Feet 
Rs. 7.75Cr ,"Maharajgunj, Kathmandu",6.2 aana,3.5,4,5,Full-Furnished,South,13 Feet 
Rs. 3.9Cr ,"Bhangal , Kathmandu",6.2 aana,2.5,4,4,Full-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Satungal, Kathmandu",6.2 aana,3.5,14,10,Full-Furnished,East,12 Feet 
Rs. 2.1Cr,"Dhapasi, Kathmandu",6.2 aana,2,4,2,Full-Furnished,North-East,25 Meter
Rs. 2.4Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,4,3,Semi-Furnished,East,13 Feet 
Rs. 2.35Cr ,"Katunje, Bhaktapur",3.1 aana,2.5,3,3,Semi-Furnished,South-West,13 Feet 
Rs. 2.6Cr ,"Tikathali, Lalitpur",3.1 aana,2.5,5,3,Semi-Furnished,East,11 Feet 
Rs. 2.43Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 4.25Cr ,"Dholahiti, Lalitpur",4.1 aana,2.5,8,5,Full-Furnished,South-East,12 Feet 
Rs. 3.95Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,6,5,Full-Furnished,South,12 Feet 
Rs. 2.34Cr ,"Shital Height, Lalitpur",2.3 aana,2.5,4,3,Semi-Furnished,South-West,12 Feet 
Rs. 2.6Cr ,"Bojepokhari, Lalitpur",2.3 aana,3,4,3,Semi-Furnished,East,13 Feet 
Rs. 2.85Cr ,"Imadol, Lalitpur",2.3 aana,2.5,7,4,Un-Furnished,South,17 Feet 
Rs. 4.8Cr ,"Imadol, Lalitpur",5.2 aana,2.5,5,5,Full-Furnished,South-West,19 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",3.2 aana,2.5,7,4,Un-Furnished,South,20 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,2.5,7,4,Un-Furnished,South,16 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",4.2 aana,2.5,7,4,Un-Furnished,South-West,13 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",4.2 aana,2.5,6,4,Un-Furnished,South-East,13 Feet 
Price on call,"Imadol, Lalitpur",3.2 aana,2.5,7,5,Un-Furnished,North,12 Feet 
Rs. 2.39Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,3,Semi-Furnished,West,15 Feet 
Price on call,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Un-Furnished,North,12 Feet 
Rs. 2.2Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,4,2,Semi-Furnished,North,13 Feet 
Rs. 3.6Cr ,"Jorpati, Kathmandu",3.2 aana,2.5,4,4,Semi-Furnished,East,13 Feet 
Rs. 3.3Cr ,"Setipakha, Lalitpur",4.2 aana,2.5,5,3,Full-Furnished,East,23 Feet 
Price on call,"Dhapakhel, Lalitpur",4.2 aana,3.5,7,5,Full-Furnished,North-East,20 Feet 
Rs. 3.85Cr ,"Jwagal, Lalitpur",4.2 aana,3.5,5,4,Semi-Furnished,West,16 Feet 
Price on call,"Khadka Gaun, Kathmandu",2.5 aana,2.5,4,3,Un-Furnished,South,20 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",2.5 aana,3.5,5,4,Semi-Furnished,North,20 Feet 
Rs. 2.1Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,4,Un-Furnished,South-East,12 Feet 
Rs. 4.3Cr ,"Kharibot, Kathmandu",2.3 aana,2.5,6,4,Semi-Furnished,South-East,13 Feet 
Rs. 8Cr ,"Gwarko, Lalitpur",9.2 aana,2.5,5,3,Full-Furnished,East,13 Feet 
Rs. 7.5Cr ,"Baluwatar, Kathmandu",6.2 aana,3.5,7,6,Semi-Furnished,South-West,13 Feet 
Rs. 3.1Cr ,"Imadol, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,South-East,12 Feet 
Rs. 3.25Cr ,"Sitapaila, Kathmandu",3.2 aana,2.5,5,3,Full-Furnished,East,15 Feet 
Rs. 4.25Cr ,"Hattiban, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.1Cr ,"Shital Height, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 5Cr ,"Budhanilkantha, Kathmandu",2.3 aana,2.5,3,4,Full-Furnished,South,13 Feet 
Rs. 4.9Cr ,"Tikathali, Lalitpur",5.2 aana,3,5,5,Full-Furnished,West,20 Feet 
Rs. 2.9Cr ,"Ochu Height, Lalitpur",4.2 aana,3.5,5,5,Semi-Furnished,North,16 Feet 
Rs. 3.07Cr ,"Rajkulo, Lalitpur",3.2 aana,3,5,4,Full-Furnished,South,13 Feet 
Rs. 7Cr ,"New Baneshwor, Kathmandu",3.2 aana,3.5,8,4,Un-Furnished,East,12 Feet 
