price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 4.35Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Baluwakhani, Kathmandu",3.5 aana,3,6,3,Un-Furnished,West,13 Feet 
Rs. 3.45Cr ,"Ganesh Chowk, Kathmandu",3.5 aana,3,4,2,Un-Furnished,East,13 Feet 
Rs. 16.5Cr ,"Dhungedhara, Kathmandu",3.5 aana,3,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.35Cr ,"Lubhu, Lalitpur",3.5 aana,2.5,6,4,Semi-Furnished,West,22 Feet 
Rs. 2.75Cr ,"Balkot, Bhaktapur",3.3 aana,3.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.8Cr ,"Imadol, Lalitpur",4.1 aana,3.5,7,5,Full-Furnished,East,13 Feet 
Rs. 3.2Cr ,"Shital Height, Lalitpur",4.1 aana,3,5,4,Semi-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Thamel, Kathmandu",3.2 aana,2.5,4,3,Full-Furnished,East,4 Feet 
Rs. 11.5Cr ,"Sinamangal, Kathmandu",3.2 aana,2,4,3,Full-Furnished,West,20 Feet 
Rs. 4Cr ,"Harisiddhi, Lalitpur",3.2 aana,2.5,6,4,Full-Furnished,East,12 Feet 
Rs. 2.77Cr ,"Bhaimal, Kathmandu",3.2 aana,4,8,5,Full-Furnished,South-East,13 Feet 
Rs. 2.8Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,6,3,Full-Furnished,South,15 Feet 
Rs. 5.99Cr ,"Pasikot, Kathmandu",3.2 aana,3,6,2,Semi-Furnished,North,12 Feet 
Rs. 4.44Cr ,"Bhangal , Kathmandu",3.2 aana,3,6,3,Semi-Furnished,North,13 Feet 
Rs. 3.1Cr ,"Samakhusi, Kathmandu",3.2 aana,3,6,3,Semi-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Bhaisepati, Lalitpur",2.2 aana,3.5,6,4,Full-Furnished,North,14 Feet 
Rs. 3.25Cr ,"Bhaisepati, Lalitpur",2.2 aana,2,6,4,Semi-Furnished,West,13 Feet 
Rs. 3.45Cr ,"Budhanilkantha, Kathmandu",2.2 aana,3,6,3,Un-Furnished,South,20 Feet 
Rs. 6Cr ,"Kalopool, Kathmandu",4.2 aana,3.5,8,5,Full-Furnished,East,13 Feet 
Rs. 4.7Cr ,"Nakhipot, Lalitpur",4.2 aana,2.5,6,5,Full-Furnished,East,20 Feet 
Rs. 2.7Cr ,"Bhaisepati, Lalitpur",4.3 aana,2.5,6,3,Full-Furnished,West,14 Feet 
Rs. 3.8Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,6,2,Full-Furnished,North,13 Feet 
Price on call,"Gothatar, Kathmandu",4.2 aana,4.5,10,4,Un-Furnished,South,14 Feet 
Rs. 11.5Cr ,"New Road, Kathmandu",1.2 aana,6,2,5,Full-Furnished,East,26 Feet 
Rs. 12Cr ,"Tahachal, Kathmandu",5.3 aana,6,9,4,Semi-Furnished,South,24 Feet 
Rs. 5.25Cr ,"Bhaisepati, Lalitpur",5.2 aana,2.5,6,5,Full-Furnished,East,16 Feet 
Rs. 2.99Cr ,"Pasikot, Kathmandu",5.2 aana,2.5,6,3,Un-Furnished,North,13 Feet 
Rs. 1.9Cr ,"Kirtipur, Kathmandu",5.2 aana,3,7,4,Un-Furnished,South,16 Feet 
Rs. 4.35Cr ,"Maharajgunj, Kathmandu",5.2 aana,2.5,7,4,Un-Furnished,South,16 Feet 
Rs. 3Cr ,"Bhaisepati, Lalitpur",5.2 aana,3,6,3,Semi-Furnished,East,13 Feet 
Price on call,"Bhaisepati, Lalitpur",5.2 aana,2.5,5,6,Semi-Furnished,South-East,20 Feet 
Rs. 3.9Cr ,"Bhaisepati, Lalitpur",4.3 aana,3.5,6,5,Semi-Furnished,South-East,20 Feet 
Rs. 2.45Cr ,"Dhapakhel, Lalitpur",3.2 aana,2.5,4,4,Semi-Furnished,South,13 Feet 
Rs. 2.27Cr ,"Thamel, Kathmandu",4.2 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 3Cr ,"Lubhu, Lalitpur",4.2 aana,3,4,4,Semi-Furnished,South-East,20 Feet 
Rs. 2.25Cr ,"Golfutar, Kathmandu",3.2 aana,3,4,3,Semi-Furnished,East,14 Feet 
Rs. 2.75Cr ,"Lubhu, Lalitpur",3.2 aana,3,6,5,Semi-Furnished,East,13 Feet 
Rs. 4.75Cr ,"Pasikot, Kathmandu",3.2 aana,2.5,4,2,Full-Furnished,East,20 Feet 
Rs. 3.9Cr ,"Imadol, Lalitpur",3.3 aana,3.5,7,5,Semi-Furnished,North,16 Feet 
Rs. 3.25Cr ,"Sanagaun, Lalitpur",3.3 aana,2.5,4,3,Full-Furnished,East,20 Feet 
Rs. 3.25Cr ,"Sanagaun, Lalitpur",4.1 aana,3,7,4,Un-Furnished,South,20 Feet 
Rs. 6.3Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 5.35Cr ,"Shital Height, Lalitpur",4.2 aana,3.5,6,4,Semi-Furnished,South,13 Feet 
Price on call,"Banasthali, Kathmandu",4.2 aana,3.5,7,4,Semi-Furnished,North,13 Feet 
Rs. 3.95Cr ,"Shital Height, Lalitpur",4.2 aana,3.5,5,3,Semi-Furnished,South,13 Feet 
Rs. 4.5Cr ,"Dholahiti, Lalitpur",4.3 aana,3,6,4,Full-Furnished,South-East,13 Feet 
Rs. 4.1Cr ,"Imadol, Lalitpur",3.2 aana,3,7,5,Semi-Furnished,East,13 Feet 
Rs. 4.2Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,7,5,Semi-Furnished,South,13 Feet 
Rs. 4.25Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,7,5,Semi-Furnished,South,13 Feet 
Rs. 2.8Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.6Cr ,"Chobhar, Kathmandu",4.1 aana,3,4,3,Semi-Furnished,South,13 Feet 
Rs. 3Cr ,"Shital Height, Lalitpur",4.1 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 3.2Cr ,"Shital Height, Lalitpur",4.1 aana,3,5,5,Full-Furnished,South,13 Feet 
Rs. 3.65Cr ,"Bhaisepati, Lalitpur",4.1 aana,2.5,4,5,Full-Furnished,North,13 Feet 
Rs. 3.9Cr ,"Shital Height, Lalitpur",4.1 aana,3.5,5,5,Full-Furnished,South-East,12 Feet 
Rs. 4.1Cr ,"Bhaisepati, Lalitpur",4.1 aana,2.5,4,3,Full-Furnished,North,16 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.1 aana,3.5,8,4,Semi-Furnished,South,13 Feet 
Rs. 3.7Cr ,"Kadaghari, Kathmandu",3.3 aana,4,7,5,Semi-Furnished,South,22 Feet 
Rs. 4.07Cr ,"Aakasedhara, Kathmandu",3.3 aana,3,6,3,Un-Furnished,South,16 Feet 
Rs. 1.6Cr ,"Kapan, Kathmandu",3.3 aana,2.5,3,2,Un-Furnished,South,13 Feet 
Rs. 8.99Cr ,"Budhanilkantha, Kathmandu",3.3 aana,3,7,4,Semi-Furnished,East,16 Feet 
Rs. 2.8Cr ,"Rudreshwor, Kathmandu",3.3 aana,2.5,6,3,Un-Furnished,East,12 Feet 
Rs. 2.79Cr ,"Pasikot, Kathmandu",3.3 aana,2.5,6,3,Un-Furnished,South,12 Feet 
Rs. 4.7Cr ,"Sunakothi, Lalitpur",3.3 aana,3,6,6,Full-Furnished,South-East,20 Feet 
Rs. 2.25Cr ,"Kalanki, Kathmandu",3.3 aana,3,5,2,Semi-Furnished,South-East,12 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",2.2 aana,3,5,3,Full-Furnished,North-East,13 Feet 
Price on call,"Tulsipur, Palpa",2.2 aana,3,5,3,Full-Furnished,North-East,13 Feet 
Rs. 3.09Cr ,"Bhaktapur, Bhaktapur",3.2 aana,2.5,6,3,Un-Furnished,East,13 Feet 
Rs. 3.9Cr ,"Chyau Danda, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 3.9Cr ,"Bhangal , Kathmandu",4.2 aana,2.5,4,2,Semi-Furnished,East,13 Feet 
Rs. 3.6Cr ,"Kusunti, Lalitpur",3.3 aana,3,5,4,Un-Furnished,East,13 Feet 
Rs. 7.99Cr ,"Budhanilkantha, Kathmandu",3.3 aana,3,5,2,Un-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Chyasundole, Kathmandu",3.3 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 2.8Cr ,"Chyasundole, Kathmandu",3.2 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 2.8Cr ,"Tokha, Kathmandu",3.2 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 1.8Cr ,"Tokha, Kathmandu",3.2 aana,2.5,7,4,Un-Furnished,East,20 Feet 
Rs. 3.3Cr ,"Bagdol, Lalitpur",3.2 aana,2.5,4,4,Un-Furnished,South-West,12 Feet 
Rs. 4.5Cr ,"Satungal, Kathmandu",3.2 aana,2.5,6,4,Un-Furnished,South-East,13 Feet 
Rs. 2.65Cr ,"Chunikhel, Kathmandu",3.2 aana,3,5,3,Un-Furnished,North-East,12 Feet 
Rs. 3.95Cr ,"Bouddha, Kathmandu",7.3 aana,2.5,4,3,Un-Furnished,South-West,13 Feet 
Rs. 1.14Cr ,"Sanepa, Lalitpur",7.3 aana,2.5,5,4,Un-Furnished,East,13 Feet 
Rs. 4.25Cr ,"Dholahiti, Lalitpur",4.1 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 4Cr ,"Dholahiti, Lalitpur",4.2 aana,3,7,4,Semi-Furnished,South-East,13 Feet 
Rs. 8Cr ,"Kusunti, Lalitpur",4.2 aana,2.5,5,4,Un-Furnished,North-West,20 Feet 
Rs. 3.5Cr ,"Dholahiti, Lalitpur",4.2 aana,3.5,10,1,Un-Furnished,North-East,13 Feet 
Rs. 7.2Cr ,"Teku, Kathmandu",8.1 aana,2.5,6,4,Un-Furnished,North-East,12 Feet 
Rs. 3.25Cr ,"Satdobato, Lalitpur",8.1 aana,2.5,4,3,Un-Furnished,South-East,13 Feet 
Rs. 2.4Cr ,"Kalanki, Kathmandu",2.3 aana,2,4,2,Un-Furnished,South-East,13 Feet 
Rs. 3.95Cr ,"Shital Height, Lalitpur",2.3 aana,2.5,6,4,Un-Furnished,South-West,13 Feet 
Rs. 4.52Cr ,"Kalanki, Kathmandu",2.3 aana,5,10,10,Un-Furnished,North-West,10 Feet 
Rs. 2.15Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,6,3,Un-Furnished,South-West,13 Feet 
Rs. 3.5Cr ,"Mandikhatar, Kathmandu",2.3 aana,2.5,4,4,Semi-Furnished,South-West,13 Feet 
Rs. 4.5Cr ,"Chamati, Kathmandu",3.3 aana,3.5,7,4,Semi-Furnished,West,13 Feet 
Rs. 5.15Cr ,"Chhauni, Kathmandu",3.3 aana,3,6,4,Full-Furnished,West,13 Feet 
Rs. 4.25Cr ,"New Baneshwor, Kathmandu",3.3 aana,2.5,5,3,Full-Furnished,North,12 Feet 
Rs. 4.25Cr ,"Shital Height, Lalitpur",3.3 aana,3.5,5,5,Full-Furnished,North-East,13 Feet 
Rs. 6Cr ,"Dholahiti, Lalitpur",3.3 aana,2.5,5,4,Semi-Furnished,East,20 Feet 
Rs. 5Cr ,"Mahalaxmisthan, Lalitpur",3.3 aana,2.5,5,4,Un-Furnished,East,13 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",3.2 aana,3,6,5,Full-Furnished,West,13 Feet 
Rs. 3Cr ,"Hepali Height, Kathmandu",3.2 aana,2.5,6,4,Un-Furnished,North-West,20 Feet 
Rs. 3.65Cr ,"Chandol, Kathmandu",3.2 aana,2.5,7,4,Un-Furnished,North,12 Feet 
Rs. 5.5Cr ,"Dhumbarahi, Kathmandu",6.2 aana,5,15,5,Un-Furnished,East,20 Feet 
Rs. 10.5Cr ,"Sinamangal, Kathmandu",6.2 aana,2.5,5,3,Full-Furnished,South,12 Feet 
Rs. 4.35Cr ,"Harisiddhi, Lalitpur",6.2 aana,2.5,6,5,Full-Furnished,South-West,13 Feet 
Rs. 3.6Cr ,"Suryadarshan Height, Kathmandu",4.3 aana,2.5,6,4,Semi-Furnished,South,12 Feet 
Rs. 2.6Cr ,"Tikathali, Lalitpur",2.3 aana,3,6,4,Semi-Furnished,South,22 Feet 
Rs. 3.5Cr ,"Ochu Height, Lalitpur",2.3 aana,3,6,5,Full-Furnished,North-West,20 Feet 
Rs. 2.15Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,4,5,Semi-Furnished,East,13 Feet 
Rs. 2.6Cr ,"Harhar Mahadev, Kathmandu",2.3 aana,3,6,3,Semi-Furnished,West,13 Feet 
Rs. 3.9Cr ,"Chyau Danda, Lalitpur",2.3 aana,3,5,4,Semi-Furnished,West,13 Feet 
Rs. 2.6Cr ,"Tikathali, Lalitpur",2.3 aana,3,6,4,Full-Furnished,East,13 Feet 
Rs. 3.5Cr ,"Dhumbarahi, Kathmandu",4.2 aana,3,4,3,Un-Furnished,South,16 Feet 
Rs. 2.27Cr ,"Golfutar, Kathmandu",3.2 aana,2.5,4,3,Semi-Furnished,East,16 Feet 
Rs. 4Cr ,"Bafal, Kathmandu",3.2 aana,2.5,4,4,Semi-Furnished,South,12 Feet 
Rs. 3.85Cr ,"Imadol, Lalitpur",3.2 aana,2.5,8,4,Un-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Tikathali, Lalitpur",3.2 aana,3,6,4,Un-Furnished,South,20 Feet 
