price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
55000000,Imadol,0-5-0-0,West,5,4,2,3.5,3,13,Full Furnished,3.5
35000000,Setipakha,0-3-2-0,South-East,7,6,2,3.5,4,13,Full Furnished,3.5
24500000,"Shital height, Imadol",0-3-0-0,East,4,3,2,2.5,3,13,Semi Furnished,2.5
75000000,Mantri Marga,0-7-0-0,South-East,5,6,2,2.5,6,13,Semi Furnished,2.5
55000000,"Bhaisepati, Lalitpur",0-5-0-0,South,5,6,2,2.5,4,13,Semi Furnished,2.5
42500000,"Shital height, Imadol",0-4-1-1,North,6,5,1,3.5,4,13,Full Furnished,3.5
45000000,Near Ganesh chowk,0-4-3-0,East,5,5,1,2.5,4,20,Semi Furnished,2.5
28000000,"Tikathali, Lalitpur",0-3-0-2,East,6,4,1,2.5,4,13,Full Furnished,2.5
36500000,"Bhaisepati, Lalitpur",0-4-0-0,North,4,5,2,2.5,4,13,Semi Furnished,2.5
33000000,Near Ganesh chowk,0-3-0-2,West,6,4,1,2.5,4,14,Full Furnished,2.5
49500000,"Imadol, Lalitpur",0-4-3-0,West,6,3,1,3.5,6,13,Semi Furnished,3.5
29500000,"Imadol, Lalitpur",0-3-2-0,South,6,5,2,3,4,13,Semi Furnished,3
42000000,"Bafal, Kathmandu",0-5-0-0,South-East,4,4,1,3,3,11,Semi Furnished,3
24000000,"Kritipur, Kathmandu",0-3-2-1,West,7,4,1,4,4,13,Full Furnished,4
25500000,Sitapaila,3.2.3,North,3,3,1,2.5,1,20,Unfurnished,2.5
37000000,Sitapaila Aadheshwor 5,5 Ana,East,5,2,1,3.5,2,13,Semi Furnished,3.5
57500000,"Hattigauda, Budhanilkantha",0-6-1-0,West,5,4,2,3,4,20,Semi Furnished,3
57500000,"Hattigauda, Budhanilkantha",0-6-1-0,West,5,4,1,3,4,20,Semi Furnished,3
47000000,"Italitar, Budhanilkantha",0-5-0-0,South,4,6,2,3,3,13,Semi Furnished,3
75000000,"Budhanilkantha, Kathmandu",0-9-0-0,South,5,5,1,3,3,13,Semi Furnished,3
25000000,Near Grande Hospital,1955.29,North-East,4,4,2,2.5,1,,Semi Furnished,2.5
45000000,Bhangal,,North,9,7,2,4,2,,Semi Furnished,4
48500000,"Dholahiti, Lalitpur",0-5-0-0,North,5,6,2,2.5,4,13,Semi Furnished,2.5
35000000,"Sitapaila, Kathmandu",0-3-2-0,South-East,5,5,1,2.5,3,22,Semi Furnished,2.5
52500000,Khadka gaun,0-6-2-0,South,6,3,2,3,3,13,Semi Furnished,3
62500000,Budhanilkantha ,,South,5,6,2,3,3,,Unfurnished,3
35500000,Budhanilkantha ,,South,,,,,,,Select Furnishing,
75000000,Budhanilkantha ,,East,7,4,2,7,3,,Semi Furnished,7
165000,Bansbari ,,South,,,,,,,Select Furnishing,
67000000,"Pasikot, Budhanilkantha",0-5-1-0,East,7,5,2,3,5,20,Full Furnished,3
52500000,"Budhanilkantha, Kathmandu",0-4-1-3,East,4,6,1,3,3,20,Semi Furnished,3
29500000,Budhanilkantha,,South,4,,2,2,1,,Semi Furnished,2
60000000,"Budhanilkantha, Kathmandu",0-8-0-0,North-West,7,5,2,5,5,22,Semi Furnished,5
39500000,"Shital height, Imadol",0-4-2-0,West,7,6,2,3,5,13,Full Furnished,3
24000000,Near to CG Lakeview Housing,0-3-1-0,East,5,3,2,3,4,16,Semi Furnished,3
43500000,Near LRI School,0-6-0-0,North,10,6,4,5,7,16,Semi Furnished,5
38000000,"Swoyambhu, Karkhana Chowk",0-4-2-0,North-East,6,3,2,4,5,13,Semi Furnished,4
70000000,"Sitapaila, Kathmandu",0-8-3-3,North-West,6,4,2,4,7,13,Semi Furnished,4
9500000,"Itumbahal,Yatkha ",0-16-0-0,South,2,2,1,1,10,16,Semi Furnished,1
31000000,"Simchaphat,Gurjudhara ",0-3-1-1,South-West,5,4,2,4,5,12,Semi Furnished,4
33000000,"Mahalaxmisthan, Lagankhel",0-3-0-0,South-East,6,3,1,3,6,11,Semi Furnished,3
14000000,Near LRI School,0-3-1-0,East,4,3,2,3,1,4,Semi Furnished,3
