price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
57500000,"Hattigauda, Budhanilkantha",339.078,West,5.0,4.0,2.0,3.0,4.0,20.0,Semi Furnished,3.0
57500000,"Hattigauda, Budhanilkantha",339.078,West,5.0,4.0,1.0,3.0,4.0,20.0,Semi Furnished,3.0
47000000,"Italitar, Budhanilkantha",211.265,South,4.0,6.0,2.0,3.0,3.0,13.0,Semi Furnished,3.0
75000000,"Budhanilkantha, Kathmandu",380.277,South,5.0,5.0,1.0,3.0,3.0,13.0,Semi Furnished,3.0
48500000,"Dholahiti, Lalitpur",211.265,North,5.0,6.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
35000000,"Sitapaila, Kathmandu",297.879,South-East,5.0,5.0,1.0,2.5,3.0,22.0,Semi Furnished,2.5
52500000,Khadka gaun,424.63800000000003,South,6.0,3.0,2.0,3.0,3.0,13.0,Semi Furnished,3.0
67000000,"Pasikot, Budhanilkantha",296.825,East,7.0,5.0,2.0,3.0,5.0,20.0,Full Furnished,3.0
52500000,"Budhanilkantha, Kathmandu",318.742,East,4.0,6.0,1.0,3.0,3.0,20.0,Semi Furnished,3.0
60000000,"Budhanilkantha, Kathmandu",338.024,North-West,7.0,5.0,2.0,5.0,5.0,22.0,Semi Furnished,5.0
39500000,"Shital height, Imadol",340.132,West,7.0,6.0,2.0,3.0,5.0,13.0,Full Furnished,3.0
24000000,Near to CG Lakeview Housing,212.31900000000002,East,5.0,3.0,2.0,3.0,4.0,16.0,Semi Furnished,3.0
43500000,Near LRI School,253.518,North,10.0,6.0,4.0,5.0,7.0,16.0,Semi Furnished,5.0
38000000,"Swoyambhu, Karkhana Chowk",340.132,North-East,6.0,3.0,2.0,4.0,5.0,13.0,Semi Furnished,4.0
70000000,"Sitapaila, Kathmandu",658.8739999999999,North-West,6.0,4.0,2.0,4.0,7.0,13.0,Semi Furnished,4.0
9500000,"Itumbahal,Yatkha ",676.048,South,2.0,2.0,1.0,1.0,10.0,16.0,Semi Furnished,1.0
31000000,"Simchaphat,Gurjudhara ",233.709,South-West,5.0,4.0,2.0,4.0,5.0,12.0,Semi Furnished,4.0
33000000,"Mahalaxmisthan, Lagankhel",126.759,South-East,6.0,3.0,1.0,3.0,6.0,11.0,Semi Furnished,3.0
14000000,Near LRI School,212.31900000000002,East,4.0,3.0,2.0,3.0,1.0,4.0,Semi Furnished,3.0
26000000,"Dhapakhel, lalitpur",126.759,East,3.0,3.0,1.0,2.5,4.0,20.0,Semi Furnished,2.5
27500000,100 meters from Civil Home,169.012,North,7.0,3.0,3.0,3.0,4.0,13.0,Semi Furnished,3.0
38000000,Namgyal Chowk,297.879,North-East,8.0,4.0,3.0,3.0,4.0,13.0,Full Furnished,3.0
19000000,"Thankot, kathmandu",126.759,East,6.0,3.0,1.0,3.0,4.0,14.0,Semi Furnished,3.0
19500000,"Naikap, Basantatol ",169.012,East,6.0,3.0,1.0,3.0,4.0,12.0,Semi Furnished,3.0
26500000,"Pasikot, budhanilkantha",126.759,North-East,5.0,4.0,1.0,3.0,4.0,13.0,Semi Furnished,3.0
95500000,"Sanepa, lalitpur",593.65,North,5.0,4.0,1.0,3.0,7.0,10.0,Semi Furnished,3.0
20000000,"Kathmandu ,Dhumbarai-4,Near pipal bot chowk.",297.879,North,6.0,2.0,1.0,2.5,2.0,8.0,Unfurnished,2.5
24000000,"Sanagaun, Lalitpur",126.759,East,6.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
24500000,"Tikathali, Lalitpur",212.31900000000002,West,5.0,3.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
27500000,"Sanagaun, Lalitpur",297.879,South-East,6.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
27000000,"Tikathali, Lalitpur",126.759,North,5.0,4.0,1.0,3.0,4.0,13.0,Semi Furnished,3.0
27500000,"Tikathali, lalitpur",297.879,South,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
27000000,"Tikathali, Lalitpur",297.879,North,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
32000000,1 km from deuba chowk,211.265,West,4.0,3.0,1.0,2.5,4.0,13.0,Semi Furnished,2.5
42500000,"Shital Height, Imadol",254.572,North-West,7.0,6.0,2.0,4.0,4.0,16.0,Semi Furnished,4.0
35000000,Imadol Tempo Park,212.31900000000002,North,6.0,4.0,2.0,3.0,5.0,13.0,Semi Furnished,3.0
29500000,"Halchowk, Single Tree",126.759,West,6.0,5.0,2.0,6.0,4.0,13.0,Semi Furnished,6.0
60000000,Ishan Colony,423.584,South-East,5.0,3.0,1.0,3.0,5.0,16.0,Semi Furnished,3.0
110000000,Sanepa Chowk,464.783,South,7.0,5.0,1.0,4.0,8.0,10.0,Semi Furnished,4.0
22500000,"Hattiban, Lalitpur",319.796,South,5.0,2.0,1.0,3.0,4.0,12.0,Semi Furnished,3.0
33000000,near Bhatbhateni,212.31900000000002,South,6.0,4.0,2.0,4.0,4.0,26.0,Semi Furnished,4.0
44500000,Mahalaxmi,169.012,North-West,6.0,6.0,2.0,4.0,4.0,26.0,Semi Furnished,4.0
70000000,"Sunrise Height, Raniban",509.144,South,6.0,5.0,2.0,4.0,4.0,13.0,Full Furnished,4.0
17500000,"Kalanki, kathmandu",341.18600000000004,South,5.0,3.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
29000000,Near LRI,297.879,South-East,7.0,5.0,3.0,4.0,4.0,15.0,Semi Furnished,4.0
11000000,Malangwa-03 ,,East,2.0,2.0,1.0,1.0,2.0,10.0,Semi Furnished,1.0
48000000,"Deuba chowk, Budhanilkantha",295.771,South-East,3.0,3.0,1.0,3.0,1.0,13.0,Semi Furnished,3.0
31500000,Ochu Height,212.31900000000002,East,5.0,4.0,2.0,4.0,1.0,13.0,Full Furnished,4.0
32500000,"Rajkulo, Imadol",297.879,West,5.0,4.0,2.0,3.0,1.0,13.0,Semi Furnished,3.0
29000000,"Rajkulo, Imadol",212.31900000000002,South,6.0,5.0,2.0,4.0,1.0,13.0,Semi Furnished,4.0
46000000,Rumba Chwok,169.012,North-East,6.0,6.0,2.0,3.5,3.0,20.0,Semi Furnished,3.5
32500000,"Rajkulo, Imadol",212.31900000000002,West,5.0,4.0,2.0,4.0,3.0,13.0,Full Furnished,4.0
32500000,Yellow Gumba,169.012,South-East,5.0,6.0,2.0,2.5,3.0,16.0,Full Furnished,2.5
31000000,"Manjurshree tole, bhaisepati",426.21900000000005,West,3.0,4.0,2.0,3.0,1.0,13.0,Semi Furnished,3.0
43000000,Bhaisepati near Mediciti Hospital,211.265,South,6.0,5.0,2.0,3.0,1.0,13.0,Semi Furnished,3.0
35000000,Bhaisepati near Mediciti hospital,383.439,South,4.0,4.0,1.0,3.0,1.0,12.0,Semi Furnished,3.0
26000000,700 meter from Medicity hospital,126.759,East,4.0,4.0,1.0,3.0,1.0,14.0,Semi Furnished,3.0
25000000,Radha krishna mandir,126.759,South-East,4.0,4.0,2.0,2.5,3.0,13.0,Unfurnished,2.5
30000000, Green Hill Academy and Milandhamsthali,211.265,South-East,5.0,5.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
42500000,Ochu Height,169.012,East,5.0,4.0,3.0,2.5,4.0,13.0,Semi Furnished,2.5
33500000,Nayabasti,256.68,North-West,5.0,6.0,2.0,3.0,3.0,20.0,Semi Furnished,3.0
7500000,"mahottrai,Bardibas",,South,2.0,1.0,0.0,1.0,2.0,100.0,Full Furnished,1.0
28000000,Tej Binayak chwok,256.68,West,7.0,5.0,2.0,2.5,4.0,20.0,Semi Furnished,2.5
28000000,Gothatar,256.68,West,5.0,4.0,2.0,2.5,4.0,20.0,Semi Furnished,2.5
32500000,Gandhichowk,64.17,West,5.0,5.0,3.0,3.5,3.0,14.0,Full Furnished,3.5
67000000,Balkumari,382.385,South,4.0,4.0,2.0,3.0,1.0,13.0,Full Furnished,3.0
64000000,Near Triton college,339.605,South,4.0,4.0,2.0,3.0,1.0,13.0,Full Furnished,3.0
37500000,Shanti Chowk,256.68,North-East,6.0,6.0,2.0,3.5,4.0,20.0,Full Furnished,3.5
45000000,pasikot,169.012,East,6.0,2.0,2.0,2.5,2.0,13.0,Semi Furnished,2.5
47500000,"Sano bharyang Colony,Ward no.2",177.4626,South-East,4.0,4.0,1.0,2.5,3.0,20.0,Semi Furnished,2.5
24500000,2.5 km from kalanki,169.012,East,8.0,5.0,3.0,3.0,2.0,13.0,Semi Furnished,3.0
100000000,Sano bharyang Colony,549.289,South-West,5.0,5.0,1.0,3.0,10.0,20.0,Semi Furnished,3.0
95000000,"Sitapaila,Comfort housing",549.289,South,5.0,3.0,1.0,2.5,10.0,20.0,Full Furnished,2.5
46500000,"Sanagaun, lalitpur",211.265,West,4.0,5.0,2.0,3.0,1.0,20.0,Full Furnished,3.0
46500000,"Sanagau, Lalitpur",425.692,East,5.0,6.0,2.0,3.0,1.0,13.0,Semi Furnished,3.0
37500000,"Ochu Height, Imadol",254.572,South,4.0,5.0,2.0,3.0,1.0,13.0,Full Furnished,3.0
33500000,"Ochu height, Imadol",212.31900000000002,South,5.0,5.0,2.0,3.0,1.0,13.0,Full Furnished,3.0
33500000,"Shital height, Imadol",212.31900000000002,North,5.0,5.0,3.0,3.0,1.0,13.0,Full Furnished,3.0
29500000,imadol,,South,6.0,4.0,2.0,3.0,3.0,13.0,Semi Furnished,3.0
57000000,imadol sitalheight,,South,7.0,5.0,2.0,3.0,3.0,13.0,Full Furnished,3.0
32500000,imadol sitalheight,,North,5.0,4.0,3.0,4.0,2.0,13.0,Full Furnished,4.0
21500000,Chandragiri,126.759,East,5.0,3.0,2.0,2.5,4.0,13.0,Semi Furnished,2.5
38500000,"Hattiban, Lalitpur, Nepal",,North,5.0,4.0,2.0,2.5,2.0,13.0,Semi Furnished,2.5
32000000,budhanikantha ,,West,5.0,4.0,2.0,3.5,2.0,13.0,Full Furnished,3.5
